read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
ca9e2bbd-4354-4a80-8c0d-38e9ab680d26	324	340	1000	234	40	16	50	16	19	1	7	8	3	2
caa044b0-7c2c-42b1-b33d-18de2be2fdb5	223	226	1000	202	2	3	19	7	0	0	0	0	1	1
caa0914e-d7c5-43c6-bf54-bd1b01af6b2a	868	918	1000	660	82	50	126	20	38	1	8	12	5	18
caa4a1c2-4a51-420f-aeab-2275ec9d27bf	571	593	1000	540	5	22	26	8	1	0	1	2	0	1
caa6844f-cb68-4d4d-a579-e5fdc7aecee8	213	222	1000	171	9	9	33	3	3	1	1	1	1	2
caacbeff-0ead-4681-af8a-6d025aa24c4d	334	354	1000	271	14	20	49	11	4	0	3	2	0	5
cab34304-ea17-4d39-93c1-c565c87bf571	250	257	1000	201	11	7	38	10	4	1	3	3	0	0
cab96bac-0b0a-4ab7-9fba-6872764035af	424	448	1000	310	34	24	80	18	15	0	3	8	4	4
cabdced8-581b-491d-afa4-fc347b9f3c49	222	227	384	203	6	5	13	4	0	0	3	0	1	2
cac24299-4e8b-4999-804f-fbbffc008fbf	429	447	1000	297	30	18	102	41	10	2	3	8	2	5
cac7d15b-a6ab-48f1-b703-5dbea88801e1	413	427	1000	377	1	14	35	7	0	0	1	0	0	0
cac96499-9596-4619-be3d-0693d212f236	219	225	1000	199	4	6	16	6	2	0	0	0	1	1
cad062ef-29c4-44ff-9e8e-23bdd0109b0b	724	790	1000	580	53	66	91	27	16	2	4	17	6	8
cad3e4e4-b561-4398-9b60-8dc2c460034c	1891	1985	1000	1239	178	94	474	35	40	17	28	47	17	29
cad6cc58-28aa-49b4-b9d1-1a9b0700ffbb	377	389	1000	261	32	12	84	17	10	1	6	6	0	9
cadcac2b-f331-4180-a579-efc35e655e97	381	399	1000	285	28	18	68	21	9	0	3	8	0	8
cae4591c-05c5-411d-a364-a0b81cc20850	180	185	1000	112	23	5	45	18	12	1	4	2	0	4
cae94256-cb2e-4092-89cf-156146a9b13e	325	335	1000	304	6	10	15	4	2	0	0	0	0	4
caef78b9-1352-47e3-8c88-eda59b968776	333	342	1000	291	5	9	37	11	3	0	0	0	0	2
caf3277b-8ef1-41b1-845e-2877e5ba5a87	317	332	1000	294	3	15	20	8	3	0	0	0	0	0
caf57f8f-46f5-4983-8146-b7c7ab826c60	195	203	864	187	3	8	5	2	1	0	0	2	0	0
cafb54be-9fba-4a81-bb11-969caf295054	229	242	1000	210	6	13	13	2	2	0	0	2	0	2
caff66b9-b3d5-44cc-9544-d7d3290b6372	195	210	1000	159	11	15	25	5	2	0	3	3	2	1
cb043904-7de7-4723-8293-4db59913d062	230	237	1000	165	18	7	47	6	7	0	3	2	0	6
cb0a5e55-b941-48e4-83c7-3062d7150cf0	385	400	1000	315	31	15	39	7	13	2	2	6	1	7
cb0e294f-6dc2-42da-a8f3-12b7a8829683	228	234	1000	208	4	6	16	5	1	0	0	2	0	1
cb11c63a-bc88-43f9-aaf1-180b4acb4880	242	249	1000	169	22	7	51	10	12	0	0	5	0	5
cb139de1-3e26-4a78-98e3-c2a0a62be649	329	351	1000	283	11	22	35	13	5	0	3	0	0	3
cb206b20-cadc-47fc-9d98-c05e4295f0ae	446	467	1000	378	33	21	35	2	15	2	6	1	3	6
cb22baf7-da39-4f9f-ba63-34c65a2bcbfe	495	515	1000	354	45	20	96	20	21	2	6	10	2	4
cb277da1-209e-477d-9774-b9f6476456d3	598	616	1000	540	8	18	50	7	4	0	0	1	1	2
cb2dfc27-9082-48ca-8e6e-a18569ca05e2	467	487	1000	329	39	20	99	34	12	1	5	11	3	7
cb30d4c5-44dd-4767-bc1b-739999204176	273	289	1000	216	13	16	44	9	6	0	3	0	0	4
cb34a2a3-469e-419c-9040-a28e22242173	481	496	1000	351	64	15	66	3	26	3	8	11	5	11
cb36c781-b24c-4a5c-8043-cad5a745e836	317	322	1000	295	4	5	18	6	1	0	0	0	1	2
cb3a4d29-6091-4571-bd80-93f7d30ff3cc	338	361	1000	226	31	23	81	28	14	0	4	5	3	5
cb3ed239-f864-4cd2-a66c-1f57c8bbb4f9	216	222	1000	198	2	6	16	4	1	0	1	0	0	0
cb452e55-5bb6-4d18-ac41-e377c3fb8d08	442	471	1000	371	13	29	58	12	5	0	2	3	0	3
cb4a13c4-f898-4c0a-b722-8290f27e718a	329	346	1000	245	27	17	57	5	9	3	4	3	3	5
cb4efe9d-0dd9-4ee3-be19-35a411672f21	343	356	1000	201	32	13	110	22	10	1	3	5	6	7
