read	gt_length	aln_length	n_alignments	n_mat	n_sub	n_ins	n_del	n_hdel	n_ctsub	n_cgsub	n_casub	n_gasub	n_gtsub	n_atsub
00cadca2-a9a5-4123-a558-b98b269cef59	196	209	12	193	1	13	2	0	0	0	0	1	0	0
00cd5745-8f83-4160-9e1f-9a4dab131182	323	354	1000	309	3	31	11	4	3	0	0	0	0	0
00cd7c6f-252e-4687-adc5-6a3e94c25abf	250	267	1000	236	5	17	9	6	3	0	0	0	0	2
00ce2c3e-449a-44fe-b074-d0eff616a428	804	829	1000	756	8	25	40	4	4	0	0	1	0	3
00cf412c-bf14-4f5d-a3d0-ae0a0c6fb04c	333	347	1000	313	3	14	17	5	1	0	0	0	0	2
00d01637-18e7-47ad-bb96-e53cfd8ba579	465	490	1000	440	7	25	18	6	4	0	0	1	0	2
00d1f501-6d39-4013-847d-63e40c89d86a	397	410	1000	363	4	13	30	4	1	1	0	1	0	1
00d4b7a3-36ac-4655-a7e2-01c5a9bb4966	333	407	1000	292	14	74	27	8	6	0	1	2	1	4
00d53ddf-3c5e-4295-a1c2-8ab5165f4468	217	308	180	211	2	91	4	1	1	1	0	0	0	0
00d6abfe-b9f9-4626-9292-0e5ab3d07e92	287	384	1000	272	2	97	13	5	0	0	0	1	0	1
00d6b3cb-bdcf-4891-924b-3edc32691f6f	302	330	1000	277	9	28	16	4	4	0	0	2	0	3
00d7cf2b-db7d-4b0a-bfb8-9e274bfc2459	313	458	1000	285	15	145	13	2	8	0	3	2	1	1
00d7d865-8113-4b3e-a827-492f72525be1	216	315	1000	204	6	99	6	3	2	0	0	2	1	1
00d98080-0c17-427a-bf5a-aeafcf18bf86	326	339	1000	308	9	13	9	2	4	0	1	2	0	2
00d9afed-4ad7-4e81-bf5e-51d9bef658d0	260	291	1000	241	6	31	13	4	2	0	1	1	1	1
00dab6e6-cf5a-4113-bb16-4039540aea32	506	521	1000	487	5	15	14	2	2	0	1	0	0	2
